,column_id,display_name,description
0,nsrrid,NSRR Subject ID,This subject identifier was created by the National Sleep Research Resource (NSRR) team to more easily match with file downloads. Use 'pptid' to link with Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) and cohort-specific data.
1,pptid,New SHHS participant ID assigned by BioLINCC,"This participant ID matches what is present in Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC). From BioLINCC, this column may be called 'npptid'."
2,ecgdate,Number of days since the baseline Polysomnography (PSG) until collected: electrocardiogram (ECG) ,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
3,lvh3_1,Left Ventricular Hypertrophy: Voltage 3-1,Minnesota (MN) code  3-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
4,lvh3_3,Left Ventricular Hypertrophy: Voltage 3-3,Minnesota (MN) code 3-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
5,st4_1_3,ST and T-wave 4-1 to 4-3,Minnesota (MN) code  4-1 to 4-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
6,st5_1_3,ST and T-wave 5-1 to 5-3,Minnesota (MN) code  5-1 to 5-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
7,lvhst,Left Ventricular Hypertrophy with ST and T-wave abnormalities,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
8,mob1,Mobitz Type-1 Heart Block,Second degree atrioventricular (Mobitz) type-1 heart block. Minnesota (MN) code 6-2-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
9,part2deg,Partial second degree atrioventricular block,Minnesota (MN) code 6-2-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
10,mob2,Mobitz Type-2 Heart Block,Second degree atrioventricular (Mobitz) type-2 heart block. Minnesota (MN) code 6-2-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
11,av3deg,Third degree atrioventricular block,Minnesota (MN) code 6-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
12,av1deg,First degree atrioventricular block,Minnesota (MN) code 6-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
13,lbbb,Left bundle-branch block,Minnesota (MN) code 7-1-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
14,rbbb,Right bundle-branch block,Minnesota (MN) code 7-2-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
15,ilbbb,Incomplete left bundle-branch block,Minnesota (MN) code 7-6. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
16,irbbb,Incomplete right bundle-branch block,Minnesota (MN) code 7-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
17,lah,Left Atrial Hypertrophy,Minnesota (MN) code 7-7. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
18,iventblk,Indeterminate intraventricular block pattern,Minnesota (MN) code 7-4. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
19,wpw,Wolff-Parkinson-White Syndrome,Minnesota (MN) code 6-4-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
20,antsepmi,Anteroseptal myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
21,infmi,Inferior myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
22,antlatmi,Anterolateral myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
23,nonsp_st,Nonspecific ST wave abnormalty,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
24,nonsp_tw,Nonspecific T wave abnormalty,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
25,rtrial,Right Atrial Enlargement,Minnesota (MN) code 9-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
26,rvh,Right Ventricular Hypertrophy,Minnesota (MN) code 3-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
